date,country,channel,campaign,impressions,clicks,sessions,conversions,cost,revenue
2025-01-01,US,Paid Search,Brand_Exact_Match,58612,2277,2102,72,5668.14,6917.36
2025-01-01,US,Paid Social,Social_Retargeting_DPA,62152,914,817,17,955.07,1799.11
2025-01-01,US,Paid Social,TikTok_UGC_Collab,31374,432,380,6,621.12,539.8
2025-01-01,US,Paid Social,IG_Showcase_Video,13195,216,202,2,317.81,206.82
2025-01-01,US,Organic,SEO_Branded_Home,62311,8802,8546,314,0.0,27773.65
2025-01-01,US,Organic,Direct_Traffic,2931,464,440,13,0.0,720.43
2025-01-01,UK,Paid Search,Search_Retargeting,30681,1202,1166,48,2738.95,6884.01
2025-01-01,UK,Paid Social,Social_Retargeting_DPA,23908,354,315,4,477.9,465.16
2025-01-01,UK,Paid Social,IG_Showcase_Video,43282,726,629,18,706.56,1295.1
2025-01-01,UK,Organic,SEO_NonBranded_Blog,32342,4630,3975,119,0.0,8825.32
2025-01-01,UK,Organic,Email_Newsletter_Weekly,20323,3186,3042,83,0.0,8553.99
2025-01-01,DE,Paid Search,Search_Retargeting,28431,1235,1062,50,3052.43,4760.96
2025-01-01,DE,Paid Social,Social_Retargeting_DPA,37652,656,583,11,818.72,773.66
2025-01-01,DE,Paid Social,IG_Showcase_Video,28624,519,492,9,604.12,478.02
2025-01-01,DE,Paid Social,LinkedIn_B2B_LeadGen,21881,309,275,5,338.65,243.59
2025-01-01,DE,Organic,Email_Newsletter_Weekly,46599,6221,5776,208,0.0,24857.52
2025-01-01,FR,Paid Search,Competitor_Targeting,18228,588,557,24,1584.9,2646.21
2025-01-01,FR,Paid Social,FB_Prospecting_Q1,17119,280,270,5,321.37,174.24
2025-01-01,FR,Paid Social,LinkedIn_B2B_LeadGen,39434,596,548,6,620.29,489.78
2025-01-01,FR,Organic,Referral_Program,37859,5102,4452,139,0.0,9893.36
2025-01-01,FR,Organic,SEO_Branded_Home,8401,1303,1228,25,0.0,2435.82
2025-01-01,AU,Paid Search,Generic_Search_Q1,32681,1255,1212,38,3029.89,4145.12
2025-01-01,AU,Paid Search,Brand_Exact_Match,4129,158,138,5,308.08,554.85
2025-01-01,AU,Paid Social,IG_Showcase_Video,10366,159,152,3,177.9,300.66
2025-01-01,AU,Paid Social,FB_Prospecting_Q1,22842,351,319,6,415.92,578.99
2025-01-01,AU,Paid Social,Social_Retargeting_DPA,21288,321,277,6,352.45,483.09
2025-01-01,AU,Organic,Referral_Program,6205,914,842,19,0.0,1655.34
2025-01-01,AU,Organic,Direct_Traffic,16341,2161,1972,53,0.0,6005.73
2025-01-02,US,Paid Search,Generic_Search_Q1,52992,1530,1383,75,4187.76,11308.47
2025-01-02,US,Paid Search,Brand_Exact_Match,36484,1790,1745,78,5636.23,10016.19
2025-01-02,US,Paid Search,Competitor_Targeting,72033,2680,2607,116,7066.75,20450.77
2025-01-02,US,Paid Social,IG_Showcase_Video,59464,749,651,14,1008.52,857.46
2025-01-02,US,Paid Social,LinkedIn_B2B_LeadGen,20533,277,254,4,320.65,483.01
2025-01-02,US,Organic,SEO_Branded_Home,60993,9543,8317,284,0.0,24658.3
2025-01-02,US,Organic,Email_Newsletter_Weekly,37815,6633,6438,203,0.0,14578.67
2025-01-02,UK,Paid Search,Search_Retargeting,31076,1297,1110,64,2563.2,9413.28
2025-01-02,UK,Paid Search,Generic_Search_Q1,9774,431,391,12,892.54,1220.92
2025-01-02,UK,Paid Social,FB_Prospecting_Q1,42890,720,656,15,701.14,1130.75
